# Constructed from biom file												
#OTU ID	VegBkConventional	FlBkConservation	VegRzConventional	FlRzConservation	VegBkConservation	HvBkConservation	HvRzConservation	FlRzConventional	VegRzConservation	FlBkConventional	HvBkConventional	HvRzConventional
Unassigned;Other	0.008833128	0.004439602	0.005293049	0.004506943	0.004207229	0.002849346	0.001923241	0.006314128	0.004765829	0.004869301	0.003379164	0.003518998
k_Archaea;p_Crenarchaeota	0.000547185	0.000463839	0.000540896	0.000291442	0.000485449	0.000561843	0.000350541	0.000496474	0.000528673	0.000703722	0.000387519	0.000388601
k_Archaea;p_[Parvarchaeota]	0.000488558	5.89E-05	0.000231812	5.20E-05	0.000122981	4.01E-05	0	0.000165491	5.44E-05	0.000147555	1.55E-05	6.48E-05
k_Archaea;p_Euryarchaeota	0.00025405	0.000110438	0	6.25E-05	1.94E-05	4.01E-05	0	0.000101841	7.77E-06	3.41E-05	0	0
k_Bacteria;Other_	0.000644897	0.000589002	0.000193177	0.000343485	0.000576067	0.000749124	0.000596868	0.000611045	0.000342082	0.000692371	0.000635531	0.000431779
k_Bacteria;p_[Caldithrix]	0	5.89E-05	0	0	0	0	0	0	7.77E-06	4.54E-05	0	0
k_Bacteria;p_Acidobacteria	0.092435168	0.101352496	0.069543716	0.073630743	0.101206504	0.109626241	0.069852488	0.0896708	0.075654621	0.096966051	0.096352673	0.087068221
k_Bacteria;p_Actinobacteria	0.241836196	0.27984951	0.298419812	0.307669088	0.264349886	0.253029938	0.226222395	0.270756422	0.300565991	0.317423924	0.30782943	0.28380829
k_Bacteria;p_AD3	0.002325536	0.000508014	0.00092725	0.000447572	0.001352786	0.000829387	0.000331593	0.001031138	0.000295435	0.000771824	0.001705083	0.00164076
k_Bacteria;p_Alphaproteobacteria	0.201559477	0.162277376	0.215933238	0.169473531	0.179247359	0.218075287	0.244924255	0.15824783	0.187406705	0.175975846	0.191325779	0.200971503
k_Bacteria;p_Armatimonadetes	0.003126771	0.002348645	0.002743113	0.001925599	0.002543755	0.002595179	0.00125058	0.002329608	0.001912551	0.002497077	0.002805636	0.002914508
k_Bacteria;p_Bacteroidetes	0.079928084	0.072123278	0.085847854	0.091856277	0.098902237	0.065401183	0.172115849	0.118631769	0.097672285	0.059714198	0.055322183	0.082858377
k_Bacteria;p_Betaproteobacteria	0.024212933	0.035943839	0.024958467	0.036992318	0.032939364	0.035168687	0.033263541	0.03694274	0.031836982	0.029215804	0.029373925	0.029663212
k_Bacteria;p_BHI80-139	3.91E-05	2.21E-05	0	0	1.29E-05	0	0	0	2.33E-05	1.14E-05	0	0
k_Bacteria;p_Chlamydiae	0.000293135	0.000346039	0.000154542	0.000218582	0.000213598	0.00033443	0.000303171	0.000407363	0.000295435	0.000170255	0.000279014	0.000302245
k_Bacteria;p_Chlorobi	0.001661097	0.001899531	0.001390874	0.0016862	0.002194232	0.001511625	0.000862142	0.001934975	0.001990297	0.001827407	0.001627579	0.002158895
k_Bacteria;p_Chloroflexi	0.105137676	0.10361279	0.095081714	0.102275329	0.093827672	0.076811943	0.05134011	0.088130458	0.088902538	0.096977401	0.089501341	0.087867012
k_Bacteria;p_Cyanobacteria	0.002266909	0.001965794	0.001545416	0.001446801	0.003469345	0.002688819	0.00083372	0.001438501	0.002347929	0.001850107	0.001813588	0.001748705
k_Bacteria;p_Deltaproteobacteria	0.021477008	0.022580859	0.01696094	0.016851594	0.019832229	0.018005725	0.012051046	0.022290399	0.017267384	0.021429463	0.019189931	0.017810881
k_Bacteria;p_Elusimicrobia	0.002775009	0.001708105	0.001622687	0.00130108	0.001559911	0.001672151	0.000720031	0.001489421	0.001430526	0.001486896	0.001689582	0.001252159
k_Bacteria;p_FBP	0.000469016	0.000191426	0.000811343	0.000197764	0.000530758	0.000494957	0.00062529	0.000636505	0.000435378	0.000192956	0.000976547	0.000734024
k_Bacteria;p_FCPU426	9.77E-05	2.95E-05	7.73E-05	4.16E-05	6.47E-06	1.34E-05	0	1.27E-05	0	0	0	2.16E-05
k_Bacteria;p_Fibrobacteres	0.001739266	0.001391517	0.000965885	0.001415575	0.001592274	0.000829387	0.000350541	0.001082058	0.001757059	0.000919378	0.000961047	0.001295337
k_Bacteria;p_Firmicutes	0.011119579	0.014894385	0.01410192	0.021223224	0.015055406	0.030085347	0.020644049	0.012500955	0.01724406	0.014119837	0.021329034	0.012284111
k_Bacteria;p_Fusobacteria	0	0	0	0	0	0	2.84E-05	0	0	0	0	0
k_Bacteria;p_GAL15	0	7.36E-05	0	2.08E-05	1.29E-05	2.68E-05	0	3.82E-05	1.55E-05	4.54E-05	0	0
k_Bacteria;p_Gammaproteobacteria	0.018389322	0.02278701	0.017347294	0.019932552	0.021786972	0.029322846	0.051283266	0.027535199	0.019747481	0.02003337	0.023406135	0.021221934
k_Bacteria;p_Gemmatimonadetes	0.022962225	0.020902204	0.013329212	0.015623374	0.019152599	0.017885331	0.010753096	0.018942384	0.015152693	0.018921036	0.018461395	0.016860967
k_Bacteria;p_GN02	0.0005081	0.000434389	0.000424989	0.000301851	0.00038836	8.03E-05	4.74E-05	0.000763806	0.000707488	0.000556167	0.000139507	0.000172712
k_Bacteria;p_GN04	1.95E-05	0.000331314	0.000193177	3.12E-05	6.47E-05	1.34E-05	0	0.000178221	2.33E-05	0.000124854	0.000155008	0.000129534
k_Bacteria;p_GOUTA4	0	0	0	1.04E-05	0	1.34E-05	0	1.27E-05	0	1.14E-05	0	0
k_Bacteria;p_Kazan-3B-28	0	0	0	0	1.94E-05	0	0	0	0	1.14E-05	0	0
k_Bacteria;p_Nitrospirae	0.006839812	0.007384611	0.005756674	0.00498574	0.006038991	0.00532413	0.002425368	0.006925172	0.004392648	0.007218823	0.004464217	0.005310881
k_Bacteria;p_NKB19	3.91E-05	0	0	0	0	0	9.47E-06	2.55E-05	0	0	1.55E-05	0
k_Bacteria;p_OD1	0.007308827	0.00309226	0.003515821	0.003205862	0.003106877	0.002019959	0.001070573	0.00389541	0.00251897	0.002474377	0.001612078	0.001683938
k_Bacteria;p_OP11	1.95E-05	0	0	2.08E-05	0	0	1.89E-05	6.37E-05	2.33E-05	0	1.55E-05	0
k_Bacteria;p_OP3	5.86E-05	9.57E-05	3.86E-05	1.04E-05	7.77E-05	1.34E-05	0	7.64E-05	4.66E-05	0.000170255	7.75E-05	6.48E-05
k_Bacteria;p_Planctomycetes	0.072541088	0.062507823	0.057025847	0.048670816	0.05315348	0.050860155	0.035309945	0.055948774	0.049578617	0.06073573	0.058019314	0.060772884
k_Bacteria;p_Spirochaetes	0.000136796	0.000125163	7.73E-05	2.08E-05	5.83E-05	0	0	6.37E-05	0.000132168	4.54E-05	0	0
k_Bacteria;p_Tenericutes	9.77E-05	2.95E-05	0.000115906	7.29E-05	4.53E-05	9.36E-05	9.47E-06	0.000101841	3.11E-05	3.41E-05	1.55E-05	2.16E-05
k_Bacteria;p_TM6	0	2.21E-05	0	0	3.24E-05	1.34E-05	0	2.55E-05	7.77E-06	1.14E-05	0	0
k_Bacteria;p_TM7	0.011510426	0.007730649	0.012826952	0.012906718	0.008621582	0.01098269	0.014533259	0.010336838	0.013341212	0.004869301	0.012695116	0.013061313
k_Bacteria;p_Verrucomicrobia	0.051122706	0.057619107	0.048371518	0.055988093	0.057160056	0.057776173	0.043827155	0.053428215	0.058115126	0.050860924	0.04927689	0.056390328
k_Bacteria;p_WPS-2	0.000117254	0.000132525	3.86E-05	4.16E-05	0.000142399	0.000414694	0.000151585	0.000178221	0.000163267	7.95E-05	0.000186009	0.000172712
k_Bacteria;p_WS2	0.000390846	0.000346039	0.000347719	0.000239399	0.000459559	0.000508334	0.000217904	0.000763806	0.000380955	0.000488065	0.000434021	0.000604491
k_Bacteria;p_WS3	0.004475191	0.007472961	0.003013561	0.003851198	0.005068092	0.003103513	0.001572699	0.00529572	0.00262004	0.005073607	0.004247206	0.004468912
k_Bacteria;p_WS6	5.86E-05	0	0	0	0	0	4.74E-05	0	0	0	0	4.32E-05
