# Constructed from biom file
#OTU ID	VegBkConventional	FlBkConservation	VegRzConventional	FlRzConservation	VegBkConservation	HvBkConservation	HvRzConservation	FlRzConventional	VegRzConservation	FlBkConventional	HvBkConventional	HvRzConventional
Unassigned;Other;Other;Other;Other	0.00883312813898	0.00443960154024	0.00529304949194	0.00450694256511	0.00420722866611	0.0028493458544	0.00192324089777	0.00631412786109	0.00476582908322	0.00486930070486	0.00337916388945	0.00351899827288
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae	0.000547184928964	0.000463838966891	0.00054089556852	0.000291442013448	0.000485449461475	0.00056184284453	0.00035054144442	0.000496473763271	0.000528672720488	0.000703721780189	0.000387518794662	0.000388601036269
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae	0.0	0.0	0.0	2.08172866749e-05	0.0	0.0	0.0	0.0	0.0	2.27007025867e-05	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae]	0.00025405014559	0.00011043784926	0.0	4.16345733497e-05	1.9417978459e-05	4.01316317521e-05	0.0	0.000101840771953	7.7745988307e-06	1.13503512934e-05	0.0	0.0
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__YLA114;f__	0.000488557972289	5.89001862718e-05	0.000231812386509	5.20432166871e-05	0.00012298053024	4.01316317521e-05	0.0	0.000165491254424	5.44221918149e-05	0.000147554566814	1.55007517865e-05	6.47668393782e-05
k__Bacteria;Other;Other;Other;Other	0.000644896523421	0.000589001862718	0.000193176988757	0.000343485230135	0.000576066694283	0.000749123792707	0.000596867864824	0.000611044631718	0.000342082348551	0.000692371428896	0.000635530823245	0.000431778929188
k__Bacteria;p__AD3;c__ABS-6;o__;f__	0.0023059936292	0.000500651583311	0.000888614148283	0.000447571663509	0.00126216859983	0.000762501003291	0.000322119165143	0.00100567762304	0.000272110959075	0.000760473536656	0.00167408119294	0.0014896373057
k__Bacteria;p__AD3;c__JG37-AG-4;o__;f__	1.95423188916e-05	7.36252328398e-06	3.86353977514e-05	0.0	9.06172328086e-05	6.68860529202e-05	9.47409309244e-06	2.54601929883e-05	2.33237964921e-05	1.13503512934e-05	3.10015035729e-05	0.000151122625216
k__Bacteria;p__Acidobacteria;Other;Other;Other	0.000136796232241	9.57128026917e-05	3.86353977514e-05	8.32691466994e-05	0.000103562551781	0.000120394895256	9.47409309244e-05	7.63805789648e-05	6.21967906456e-05	0.000113503512934	0.000201509773224	6.47668393782e-05
k__Bacteria;p__Acidobacteria;c__;o__;f__	0.00087940435012	0.00100866568991	0.000424989375266	0.000551658096884	0.000737883181442	0.000615351686866	0.000227378234219	0.000598314535224	0.000357631546212	0.000544816862082	0.000713034582177	0.000669257340242
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__	0.0053155107385	0.00495497817012	0.00332264420662	0.00393446718155	0.00504220173985	0.00405329480697	0.00253905694877	0.00400998039565	0.00380177882821	0.00442663700442	0.00385968719483	0.00392918825561
