# Constructed from biom file
#OTU ID	Bn11	Bn12	Bn15	Bn16	Bn19	Bn20	Bn23	Bn24	Bn27	Bn28	Bn31	Bn32	Bn35	Bn36	Bn39	Bn3	Bn40	Bn43	Bn44	Bn47	Bn48	Bn4	Bn51	Bn52	Bn55	Bn56	Bn59	Bn60	Bn63	Bn64	Bn67	Bn68	Bn71	Bn72	Bn7	Bn8	taxonomy
OTU516	17.0	14.0	3.0	20.0	11.0	1.0	6.0	6.0	27.0	19.0	8.0	20.0	6.0	4.0	2.0	21.0	6.0	8.0	6.0	2.0	8.0	9.0	9.0	4.0	7.0	9.0	10.0	7.0	26.0	35.0	1.0	8.0	4.0	5.0	6.0	33.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
OTU2771	1.0	8.0	0.0	3.0	2.0	2.0	1.0	1.0	7.0	5.0	0.0	0.0	0.0	0.0	1.0	5.0	6.0	1.0	2.0	0.0	3.0	8.0	0.0	2.0	0.0	0.0	4.0	3.0	5.0	3.0	0.0	0.0	0.0	0.0	1.0	8.0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__; g__; s__
OTU1012	59.0	79.0	21.0	63.0	59.0	19.0	17.0	33.0	42.0	36.0	10.0	20.0	4.0	5.0	3.0	45.0	12.0	11.0	19.0	4.0	18.0	14.0	24.0	10.0	6.0	12.0	35.0	80.0	28.0	38.0	2.0	16.0	4.0	6.0	17.0	50.0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__
OTU132	56.0	88.0	34.0	57.0	56.0	20.0	27.0	50.0	91.0	75.0	36.0	59.0	39.0	15.0	6.0	76.0	12.0	5.0	7.0	7.0	13.0	56.0	72.0	29.0	41.0	62.0	23.0	38.0	24.0	38.0	9.0	12.0	19.0	27.0	40.0	47.0	k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__
OTU24	326.0	341.0	138.0	207.0	509.0	178.0	153.0	251.0	415.0	168.0	108.0	72.0	43.0	41.0	29.0	560.0	29.0	57.0	46.0	35.0	72.0	177.0	141.0	34.0	115.0	65.0	152.0	231.0	172.0	98.0	34.0	58.0	54.0	116.0	221.0	163.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nakamurellaceae; g__; s__
OTU504	10.0	9.0	5.0	28.0	11.0	7.0	5.0	11.0	14.0	21.0	14.0	14.0	11.0	9.0	0.0	25.0	5.0	6.0	8.0	1.0	19.0	10.0	10.0	1.0	5.0	4.0	13.0	14.0	21.0	21.0	0.0	12.0	7.0	4.0	17.0	22.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
OTU832	7.0	8.0	1.0	7.0	5.0	2.0	2.0	2.0	13.0	5.0	3.0	0.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	0.0	2.0	7.0	0.0	0.0	1.0	2.0	3.0	7.0	3.0	5.0	0.0	3.0	6.0	0.0	1.0	21.0	k__Bacteria; p__Acidobacteria; c__iii1-8; o__DS-18; f__; g__; s__
OTU134	118.0	198.0	59.0	385.0	141.0	72.0	27.0	84.0	71.0	68.0	19.0	85.0	22.0	31.0	16.0	99.0	49.0	24.0	78.0	23.0	100.0	72.0	72.0	32.0	58.0	64.0	76.0	177.0	84.0	96.0	7.0	40.0	40.0	62.0	37.0	153.0	k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__
OTU199	57.0	55.0	64.0	121.0	58.0	26.0	11.0	37.0	55.0	27.0	24.0	15.0	58.0	27.0	6.0	94.0	2.0	5.0	13.0	15.0	10.0	43.0	13.0	6.0	47.0	35.0	36.0	68.0	7.0	23.0	7.0	8.0	40.0	52.0	24.0	37.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae
OTU932	16.0	10.0	1.0	0.0	19.0	2.0	1.0	4.0	8.0	20.0	6.0	4.0	0.0	0.0	4.0	3.0	10.0	8.0	13.0	0.0	15.0	0.0	11.0	10.0	0.0	0.0	3.0	10.0	13.0	16.0	0.0	6.0	0.0	0.0	4.0	16.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__
OTU30	220.0	186.0	206.0	331.0	316.0	170.0	86.0	145.0	203.0	171.0	61.0	77.0	90.0	49.0	28.0	509.0	52.0	53.0	64.0	86.0	90.0	194.0	90.0	29.0	140.0	98.0	135.0	207.0	123.0	140.0	16.0	70.0	73.0	173.0	91.0	165.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__; s__
OTU37	254.0	383.0	101.0	350.0	262.0	83.0	56.0	118.0	140.0	122.0	29.0	80.0	31.0	21.0	18.0	179.0	60.0	49.0	107.0	47.0	137.0	172.0	115.0	39.0	118.0	102.0	123.0	301.0	128.0	165.0	11.0	66.0	49.0	98.0	61.0	219.0	k__Bacteria; p__Chloroflexi; c__Gitt-GS-136; o__; f__; g__; s__
OTU8	520.0	1005.0	744.0	1802.0	855.0	381.0	340.0	573.0	556.0	418.0	236.0	390.0	213.0	317.0	57.0	1890.0	182.0	146.0	174.0	180.0	259.0	1207.0	298.0	110.0	480.0	524.0	289.0	904.0	219.0	476.0	40.0	112.0	264.0	349.0	306.0	420.0	k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Candidatus Xiphinematobacter; s__
OTU11	390.0	381.0	201.0	667.0	505.0	113.0	108.0	200.0	172.0	167.0	42.0	104.0	73.0	68.0	20.0	418.0	81.0	44.0	80.0	53.0	84.0	338.0	125.0	38.0	182.0	169.0	188.0	420.0	71.0	172.0	21.0	51.0	87.0	143.0	162.0	263.0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__
OTU20	78.0	183.0	24.0	181.0	111.0	73.0	19.0	65.0	74.0	120.0	23.0	93.0	25.0	26.0	13.0	100.0	60.0	32.0	78.0	9.0	80.0	75.0	56.0	33.0	22.0	23.0	63.0	120.0	81.0	119.0	19.0	39.0	14.0	37.0	43.0	151.0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__; g__; s__
OTU464	10.0	24.0	9.0	11.0	16.0	9.0	7.0	12.0	12.0	17.0	13.0	6.0	7.0	1.0	3.0	23.0	1.0	3.0	6.0	0.0	3.0	9.0	6.0	6.0	2.0	5.0	0.0	17.0	1.0	5.0	0.0	7.0	3.0	2.0	10.0	11.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__
OTU99	53.0	87.0	50.0	70.0	76.0	27.0	10.0	32.0	63.0	36.0	11.0	15.0	22.0	11.0	2.0	91.0	11.0	10.0	15.0	10.0	26.0	58.0	33.0	6.0	24.0	30.0	27.0	71.0	35.0	23.0	3.0	9.0	28.0	23.0	31.0	54.0	k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__; g__; s__
OTU148	385.0	647.0	174.0	729.0	463.0	189.0	142.0	232.0	270.0	251.0	95.0	173.0	51.0	33.0	43.0	246.0	163.0	100.0	174.0	51.0	242.0	228.0	250.0	91.0	117.0	84.0	178.0	447.0	295.0	275.0	32.0	93.0	62.0	83.0	139.0	373.0	k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__; g__; s__
OTU847	33.0	38.0	23.0	49.0	35.0	8.0	14.0	16.0	21.0	16.0	7.0	10.0	8.0	10.0	1.0	47.0	2.0	1.0	9.0	2.0	6.0	20.0	7.0	1.0	18.0	15.0	14.0	30.0	7.0	16.0	3.0	7.0	7.0	17.0	4.0	23.0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Patulibacteraceae; g__; s__
OTU9	496.0	714.0	354.0	1356.0	557.0	188.0	158.0	292.0	276.0	281.0	71.0	233.0	127.0	134.0	43.0	705.0	166.0	80.0	179.0	85.0	235.0	672.0	200.0	71.0	216.0	270.0	271.0	892.0	146.0	334.0	31.0	87.0	141.0	195.0	231.0	485.0	k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__0319-7L14; f__; g__; s__
OTU566	19.0	44.0	10.0	49.0	60.0	14.0	18.0	27.0	46.0	52.0	14.0	10.0	5.0	6.0	5.0	40.0	13.0	11.0	13.0	4.0	17.0	36.0	29.0	4.0	21.0	19.0	18.0	60.0	13.0	34.0	7.0	9.0	7.0	8.0	24.0	37.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Pseudonocardia; s__
OTU60	212.0	275.0	78.0	206.0	122.0	114.0	35.0	107.0	144.0	161.0	107.0	117.0	124.0	79.0	10.0	181.0	20.0	15.0	24.0	29.0	37.0	177.0	77.0	25.0	89.0	102.0	76.0	65.0	106.0	60.0	7.0	45.0	38.0	80.0	98.0	192.0	k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075; g__; s__
OTU3174	4.0	3.0	0.0	1.0	4.0	2.0	1.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	1.0	2.0	2.0	0.0	2.0	2.0	0.0	1.0	5.0	0.0	1.0	1.0	0.0	0.0	2.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Polyangiaceae; g__; s__
OTU36	86.0	136.0	77.0	218.0	101.0	39.0	45.0	75.0	57.0	56.0	29.0	47.0	51.0	46.0	7.0	196.0	26.0	20.0	31.0	31.0	43.0	163.0	37.0	18.0	77.0	78.0	54.0	140.0	21.0	64.0	3.0	15.0	40.0	79.0	36.0	85.0	k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__0319-7L14; f__; g__; s__
OTU704	20.0	46.0	7.0	55.0	30.0	10.0	9.0	11.0	19.0	16.0	2.0	9.0	5.0	5.0	2.0	22.0	18.0	11.0	10.0	7.0	15.0	14.0	10.0	3.0	17.0	10.0	13.0	30.0	13.0	22.0	1.0	5.0	4.0	14.0	11.0	16.0	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__
OTU685	13.0	33.0	15.0	35.0	33.0	15.0	14.0	24.0	62.0	35.0	14.0	13.0	15.0	18.0	9.0	46.0	15.0	10.0	13.0	9.0	10.0	45.0	23.0	11.0	30.0	20.0	21.0	38.0	35.0	20.0	3.0	6.0	23.0	18.0	24.0	22.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
OTU10	185.0	190.0	247.0	394.0	144.0	46.0	48.0	90.0	106.0	71.0	32.0	57.0	104.0	83.0	11.0	501.0	30.0	22.0	11.0	71.0	27.0	325.0	29.0	9.0	113.0	149.0	91.0	224.0	26.0	72.0	10.0	13.0	77.0	131.0	57.0	82.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Balneimonas; s__
OTU1684	22.0	34.0	8.0	8.0	22.0	9.0	9.0	9.0	12.0	12.0	8.0	9.0	6.0	6.0	3.0	24.0	11.0	2.0	8.0	5.0	6.0	11.0	1.0	1.0	3.0	1.0	9.0	14.0	11.0	10.0	2.0	3.0	0.0	5.0	9.0	14.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
OTU1997	3.0	2.0	1.0	8.0	5.0	1.0	3.0	5.0	3.0	3.0	1.0	1.0	2.0	0.0	0.0	5.0	1.0	1.0	0.0	0.0	3.0	2.0	0.0	1.0	3.0	7.0	0.0	6.0	1.0	1.0	0.0	3.0	5.0	2.0	0.0	6.0	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__; s__
OTU478	18.0	18.0	2.0	12.0	10.0	8.0	4.0	10.0	18.0	9.0	8.0	5.0	0.0	0.0	1.0	6.0	1.0	5.0	5.0	1.0	7.0	6.0	4.0	7.0	0.0	0.0	7.0	3.0	8.0	5.0	1.0	5.0	1.0	0.0	6.0	11.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__; g__; s__
OTU637	53.0	51.0	23.0	121.0	67.0	13.0	17.0	17.0	32.0	31.0	11.0	21.0	12.0	12.0	4.0	51.0	12.0	10.0	16.0	5.0	24.0	44.0	23.0	6.0	27.0	13.0	30.0	63.0	16.0	33.0	5.0	7.0	14.0	20.0	26.0	45.0	k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__[Roseiflexales]; f__[Kouleothrixaceae]; g__; s__
OTU818	42.0	61.0	15.0	47.0	54.0	11.0	11.0	29.0	57.0	47.0	8.0	34.0	9.0	12.0	4.0	37.0	16.0	10.0	27.0	7.0	25.0	29.0	23.0	7.0	5.0	12.0	23.0	64.0	44.0	25.0	7.0	21.0	7.0	8.0	19.0	52.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
OTU65	87.0	200.0	79.0	86.0	157.0	62.0	45.0	111.0	184.0	88.0	114.0	50.0	109.0	54.0	7.0	260.0	16.0	22.0	20.0	14.0	24.0	103.0	62.0	29.0	76.0	43.0	50.0	53.0	82.0	48.0	2.0	17.0	27.0	46.0	141.0	139.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
OTU572	36.0	41.0	23.0	79.0	41.0	6.0	16.0	27.0	33.0	18.0	2.0	12.0	10.0	8.0	2.0	57.0	15.0	11.0	20.0	5.0	17.0	45.0	17.0	6.0	17.0	20.0	19.0	47.0	17.0	16.0	3.0	4.0	9.0	12.0	20.0	35.0	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__
