#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU3613	k__Bacteria	 p__Chlamydiae	 c__Chlamydiia	 o__Chlamydiales	 f__Parachlamydiaceae	 g__Candidatus Protochlamydia	 s__
OTU3612	k__Bacteria	 p__Proteobacteria	 c__Betaproteobacteria	 o__	 f__	 g__	 s__
OTU2744	k__Bacteria	 p__Verrucomicrobia	 c__[Methylacidiphilae]	 o__S-BQ2-57	 f__	 g__	 s__
OTU2745	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__	 s__
OTU2746	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SB-34	 f__	 g__	 s__
OTU1569	k__Bacteria	 p__OD1	 c__ZB2	 o__	 f__	 g__	 s__
OTU1568	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Methylocystaceae	 g__Methylopila	 s__
OTU2747	k__Bacteria	 p__Actinobacteria	 c__Thermoleophilia	 o__Gaiellales	 f__Gaiellaceae	 g__	 s__
OTU1561	k__Bacteria	 p__Planctomycetes	 c__Phycisphaerae	 o__Phycisphaerales	 f__	 g__	 s__
OTU1560	k__Bacteria	 p__Acidobacteria					
OTU1563	k__Bacteria	 p__Acidobacteria	 c__Acidobacteria-6	 o__iii1-15	 f__RB40	 g__	 s__
OTU1562	k__Bacteria	 p__Verrucomicrobia	 c__[Spartobacteria]	 o__[Chthoniobacterales]	 f__[Chthoniobacteraceae]	 g__OR-59	 s__
OTU1565	k__Bacteria	 p__Actinobacteria	 c__Thermoleophilia	 o__Solirubrobacterales	 f__Patulibacteraceae	 g__	 s__
OTU1564	k__Bacteria	 p__OD1	 c__ZB2	 o__	 f__	 g__	 s__
OTU1567	k__Bacteria	 p__OD1	 c__ZB2	 o__	 f__	 g__	 s__
OTU1566	k__Bacteria	 p__Planctomycetes	 c__Planctomycetia	 o__Pirellulales	 f__Pirellulaceae	 g__	 s__
OTU2999	k__Bacteria	 p__Proteobacteria	 c__Deltaproteobacteria	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__Bdellovibrio	 s__
OTU2998	k__Bacteria	 p__Planctomycetes	 c__Phycisphaerae	 o__Phycisphaerales	 f__	 g__	 s__
OTU2742	Unassigned						
OTU2991	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Legionellales	 f__Coxiellaceae	 g__	 s__
OTU2990	k__Bacteria	 p__Actinobacteria	 c__Actinobacteria	 o__Actinomycetales	 f__Mycobacteriaceae	 g__Mycobacterium	 s__
OTU2993	k__Bacteria	 p__WPS-2	 c__	 o__	 f__	 g__	 s__
OTU2743	k__Bacteria	 p__Acidobacteria	 c__Acidobacteria-5	 o__	 f__	 g__	 s__
OTU2995	k__Bacteria	 p__OD1	 c__SM2F11	 o__	 f__	 g__	 s__
OTU2994	k__Bacteria	 p__GN02	 c__GKS2-174	 o__	 f__	 g__	 s__
OTU2997	k__Bacteria	 p__TM7	 c__SC3	 o__	 f__	 g__	 s__
OTU2996	k__Bacteria	 p__Proteobacteria	 c__Deltaproteobacteria	 o__Myxococcales	 f__	 g__	 s__
OTU3558	k__Bacteria	 p__Planctomycetes	 c__Planctomycetia	 o__Planctomycetales	 f__Planctomycetaceae	 g__Planctomyces	 s__
OTU3559	k__Bacteria	 p__Chlorobi	 c__SJA-28	 o__	 f__	 g__	 s__
OTU3552	k__Bacteria	 p__Actinobacteria	 c__Thermoleophilia	 o__Gaiellales	 f__Gaiellaceae	 g__	 s__
OTU3553	k__Bacteria	 p__OD1	 c__ZB2	 o__	 f__	 g__	 s__
OTU3550	Unassigned						
OTU3551	k__Bacteria	 p__TM7	 c__TM7-1	 o__	 f__	 g__	 s__
OTU3556	k__Bacteria	 p__OD1	 c__ZB2	 o__	 f__	 g__	 s__
OTU3557	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__H39	 f__	 g__	 s__
OTU3554	k__Bacteria	 p__Gemmatimonadetes	 c__	 o__	 f__	 g__	 s__
OTU3555	k__Bacteria	 p__Proteobacteria	 c__Deltaproteobacteria	 o__MIZ46	 f__	 g__	 s__
OTU2865	k__Bacteria	 p__Elusimicrobia	 c__Elusimicrobia	 o__IIb	 f__	 g__	 s__
OTU2864	k__Bacteria	 p__Verrucomicrobia	 c__[Spartobacteria]	 o__[Chthoniobacterales]	 f__[Chthoniobacteraceae]	 g__	 s__
OTU2867	k__Bacteria	 p__OD1	 c__ZB2	 o__	 f__	 g__	 s__
OTU2866	Unassigned						
OTU2861	k__Bacteria	 p__Acidobacteria	 c__iii1-8	 o__DS-18	 f__	 g__	 s__
OTU2860	k__Bacteria	 p__Planctomycetes	 c__OM190	 o__agg27	 f__	 g__	 s__
OTU2863	k__Bacteria	 p__Planctomycetes	 c__Planctomycetia	 o__Gemmatales	 f__Gemmataceae	 g__	 s__
OTU2862	Unassigned						
OTU3619	k__Bacteria	 p__Armatimonadetes	 c__[Fimbriimonadia]	 o__[Fimbriimonadales]	 f__[Fimbriimonadaceae]	 g__Fimbriimonas	 s__
OTU2869	k__Bacteria	 p__OD1	 c__ZB2	 o__	 f__	 g__	 s__
OTU2868	k__Bacteria	 p__Verrucomicrobia	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Verrucomicrobiaceae	 g__	 s__
OTU2778	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Xanthomonadales	 f__Sinobacteraceae	 g__Steroidobacter	 s__
OTU2739	k__Bacteria	 p__FBP	 c__	 o__	 f__	 g__	 s__
OTU2738	Unassigned						
OTU926	k__Bacteria	 p__Actinobacteria	 c__Acidimicrobiia	 o__Acidimicrobiales	 f__	 g__	 s__
OTU2735	k__Bacteria	 p__Actinobacteria	 c__Actinobacteria	 o__Actinomycetales	 f__	 g__	 s__
OTU2734	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Caldilineales	 f__Caldilineaceae	 g__	 s__
OTU2737	k__Bacteria	 p__Planctomycetes	 c__Planctomycetia	 o__Pirellulales	 f__Pirellulaceae	 g__	 s__
OTU2736	k__Bacteria	 p__WS3	 c__PRR-12	 o__Sediment-1	 f__	 g__	 s__
OTU2731	k__Bacteria	 p__TM7	 c__TM7-1	 o__	 f__	 g__	 s__
OTU2730	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__BD7-3	 f__	 g__	 s__
OTU2733	k__Bacteria	 p__Acidobacteria	 c__Acidobacteria-6	 o__iii1-15	 f__RB40	 g__	 s__
OTU2732	k__Bacteria	 p__TM7	 c__TM7-1	 o__	 f__	 g__	 s__
OTU3618	Unassigned						
OTU664	k__Bacteria	 p__Acidobacteria	 c__iii1-8	 o__DS-18	 f__	 g__	 s__
OTU3591	Unassigned						
OTU665	k__Bacteria	 p__Planctomycetes	 c__Phycisphaerae	 o__WD2101	 f__	 g__	 s__
OTU3488	k__Bacteria	 p__Bacteroidetes	 c__Flavobacteriia	 o__Flavobacteriales	 f__Cryomorphaceae	 g__	 s__
OTU3489	k__Bacteria	 p__Actinobacteria	 c__Acidimicrobiia	 o__Acidimicrobiales	 f__	 g__	 s__
OTU1189	k__Bacteria	 p__Chlorobi	 c__BSV26	 o__A89	 f__	 g__	 s__
OTU1188	k__Bacteria	 p__Verrucomicrobia	 c__[Spartobacteria]	 o__[Chthoniobacterales]	 f__[Chthoniobacteraceae]	 g__OR-59	 s__
OTU1187	k__Bacteria	 p__Proteobacteria	 c__Deltaproteobacteria	 o__	 f__	 g__	 s__
OTU1186	k__Bacteria	 p__Planctomycetes	 c__Phycisphaerae	 o__WD2101	 f__	 g__	 s__
OTU1185	k__Bacteria	 p__Proteobacteria	 c__Deltaproteobacteria	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__Bdellovibrio	
OTU1184	k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Turicibacterales	 f__Turicibacteraceae	 g__Turicibacter	 s__
OTU1183	k__Bacteria	 p__Planctomycetes	 c__Phycisphaerae	 o__Pla1	 f__	 g__	 s__
OTU1182	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__	 g__	 s__
OTU1181	k__Bacteria	 p__Planctomycetes	 c__Phycisphaerae	 o__WD2101	 f__	 g__	 s__
OTU1180	k__Bacteria	 p__TM7	 c__TM7-1	 o__	 f__	 g__	 s__
OTU1341	k__Bacteria	 p__Acidobacteria	 c__[Chloracidobacteria]	 o__Ellin7246	 f__	 g__	 s__
OTU1340	k__Bacteria	 p__Verrucomicrobia	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Verrucomicrobiaceae	 g__	 s__
